Name;Number of tweets;;;Number of tweets;Number of persons who have tweeted this many times
@wendy_Lynnette;2;;;;
@wilescape;2;;;;
@williamlegate;2;;;;
@xr_cambridge;2;;;;
@yammerapple;2;;;;
@WillyTheDegen;1;;;;
@elonmusk;1;;;;
@lucaberta;1;;;;
@0045James;1;;;;
@0x_Vinyl;1;;;;
@1066Tweets;1;;;;
@10DowningStreet;1;;;;
@12Tulip3;1;;;;
@13WHAM;1;;;;
@1689Jeffrey;1;;;;
@16po;1;;;;
@1971JimboJ1;1;;;;
@1BoysFan;1;;;;
@1Voice4now;1;;;;
@1WitchyChick;1;;;;
@1zzyzyx1;1;;;;
@2021JustJen;1;;;;
@2CynicAl65;1;;;;
@2still_learning;1;;;;
@303zTreez;1;;;;
@3HDMonsta;1;;;;
@3dogrunner;1;;;;
@3rdangelmessen1;1;;;;
@48hills;1;;;;
@4FP_ZephyrTiger;1;;;;
@4theFairest;1;;;;
@5XD__;1;;;;
@62WalterP;1;;;;
@6TK9Cn1RB4A49B1;1;;;;
@6footBarefoot;1;;;;
@7NewsPerth;1;;;;
@7Veritas4;1;;;;
@7Weather;1;;;;
@8UyYVb0ngErQ5Qh;1;;;;
@8_27J;1;;;;
@9NewsPerth;1;;;;
"@ABC11_WTVD?""";1;;;;
@ABC7NY;1;;;;
@ABlackTweeter;1;;;;
@ACE_Fitzgerald;1;;;;
@ADATS99;1;;;;
