Column1;Column2;;Number of tweets;Number of persons who have tweeted this many times
@DrSimEvans;4;;;
@DrWendyRocks;1;;;
@DrZahidHamidi;1;;;
@DucuGavril;2;;;
@DuikerArjan;1;;;
@DustinTL;1;;;
@DylanBurns1776;1;;;
@DylanEkes;3;;;
@DynamiteOld;1;;;
@ECCCWeatherON;2;;;
@ECCCWeatherSK;1;;;
@ECDOH;1;;;
@ECOWARRIORSS;26;;;
@ECSONY1;1;;;
@EL_Bamforth;2;;;
@EM7275;1;;;
@Earthworks;1;;;
@EcoSenseNow;6;;;
@Ecotainment_YT;4;;;
@EdRoberts9;1;;;
@EdwardLawrence;2;;;
@Edwin07011;1;;;
@Ekitipikin;1;;;
@El_Universal_Mx;1;;;
@Electroversenet;7;;;
@ElenaHaskins;1;;;
@Elickson7;1;;;
@ElieJarrougeMD;1;;;
@EliotJacobson;5;;;
@Elisilvaaaaa;5;;;
@Elizabe15308973;1;;;
@Ellie61524112;1;;;
@ElliotDavid16;1;;;
@Ellis_Greenwood;3;;;
@Elonmusk;1;;;
@EmaanzT;2;;;
@EmilyWax;1;;;
@EmmaRechenberg;4;;;
@EndWokeness;19;;;
@Endorsen;2;;;
@Enea_H;3;;;
@EricSnitilWx;1;;;
@EricTropicalTX;1;;;
@EricWil06256732;1;;;
@ErieCountyNY;1;;;
@ErlingHaaland;1;;;
@ErskineDaniel;6;;;
@Esqueer_;7;;;
@EtMar99;1;;;
@Eternal_Mewar;1;;;
@EthicsGradient;1;;;
@EthonRaptor;2;;;
@EuphoricEuler;1;;;
@EvanXDuckett;1;;;
@Evolutionistrue;1;;;
@Evry1H8sGrtzLOL;1;;;
@EwanMacKenna;1;;;
@ExhaustedMom5;1;;;
@ExpandingArctic;1;;;
@ExtinctionR;3;;;
@FBI;3;;;
@FBIBuffalo;1;;;
@FBIWFO;2;;;
"@FCC""";1;;;
@FCC;1;;;
@FChecker76;2;;;
@FDcookin123;1;;;
@FFFMAPA;2;;;
@FHound44;1;;;
@FLYNN6411;1;;;
@FLastrade;4;;;
@FOX4;1;;;
@FPunch67;2;;;
@FQKentucky;1;;;
@FT;1;;;
@FactSparrow;2;;;
@FactsOnly77;1;;;
@Faith16789;1;;;
@Faktantarkast10;1;;;
@FarSight3;1;;;
@Farmer_Boycie;1;;;
@FatEmperor;1;;;
@FemmeVoilet;1;;;
@Ferahgo684;1;;;
