Date,User,Tweet
2023-03-14 22:45:37+00:00,on_piggott,"@michaelnne20 @Jules31415 @mannazesq FEMA is not part of DOT. There actually was no grounds for disaster assistance. That was the responsibility of Norfolk Southern. This was not a natural disaster. The Feds could offer some short term assistance, and they did, but this was not like a hurricane."
2023-03-14 22:45:14+00:00,COMETcapital,@GerberKawasaki GLOBAL WARMING!!!!!
2023-03-14 22:44:43+00:00,deanna_hodson,@RogerHallamCS21 Global warming is a UN hoax!
2023-03-14 22:44:31+00:00,trollyard,@propertyofkenz Global warming LOL
2023-03-14 22:43:19+00:00,joeecollins3,"Global Warming is cold as hell… 

Who knew!? 🤔"
2023-03-14 22:42:10+00:00,dxronxlm,Isn’t the Democratic Party into killing babies why do they care about global warming so much?
2023-03-14 22:42:04+00:00,rawhide_dutch,@cynthialowens @US_Stormwatch Al Goreleone - The Godfather of Global Warming
2023-03-14 22:42:02+00:00,Cal__1995,@martymush They’ve moved on from “Global warming” to “climate change”.
2023-03-14 22:41:40+00:00,Swachtor,@nytimes We’re all going to be dead by global warming in 4 years. AOC said so.
2023-03-14 22:41:36+00:00,JJVlugt,"@KarinMary1 @investigatemag @OliviaWannan Wow that's a lot of snow 😳. Climate definitely changing, but where's the global warming? I remember 90s being hot, and anyone I talk to over 40 years thinks it's only getting colder. Perhaps Climate is changing towards more cooler weather then, more big snow dumps like your Pic."
2023-03-14 22:41:33+00:00,grd8901,"@martymush You do know that if it snows, global warming is still happening right?"
2023-03-14 22:41:11+00:00,Kyleb557,@nytimes Very convenient that you can blame literally every inclement weather event on global warming.
2023-03-14 22:40:47+00:00,rawhide_dutch,"@elsontrinidad @US_Stormwatch The high sierra has had it's coldest winter in over 70 years, hence the low snow levels.  Global Warming."
2023-03-14 22:40:20+00:00,JahnJimmy,"@CNN Speaking of weather and the ""global warming"", explain how these record snowfalls and rains happen. A bunch of BS!!!"
2023-03-14 22:39:55+00:00,martymush,I feel like Global Warming people get really pissed when it snows
2023-03-14 22:38:57+00:00,amc1969,@thehill Global warming don’t  matter much after all
2023-03-14 22:38:55+00:00,rawhide_dutch,"@US_Stormwatch @davidlimesalt Wow, the Global Warming sure is piling up there!"
2023-03-14 22:37:35+00:00,KRVern0,@skipper876 ‘The cooked generation’ the way global warming is moving
2023-03-14 22:37:07+00:00,rawhide_dutch,"@antsharwood @davidlimesalt We sure could use some of that Global Warming over here, our Global Warming has been piling up over 8 feet deep."
2023-03-14 22:36:45+00:00,WookieInHeat,"@Playthoseslots @MartyTa94849826 @PamalaDalrympl2 Nope meant like LOOK OUT!!! THE END IS NIGH!!! EVERY NATURAL DISASTER IS A SIGN OF THE IMPENDING APOCALYPSE!!! CLIMATE DENIER!!! HERETIC!!!

Ironic coming from people who borrowed their political playbook from an Incan shaman &amp; talk w the fanatical zeal of medieval inquisitors."
2023-03-14 22:36:01+00:00,stillyournami,No matter what we poor ppl do in order to prevent climat change theres always someone w money that will not give a shit and destroy the ecosystem
2023-03-14 22:35:37+00:00,klyphnelson,"@GlobalOkanagan If you knew your the stupid global warming theory, there is supposed to be more rain. Why is global okanagan pushing this bizarre gaian religion?"
2023-03-14 22:35:30+00:00,blindin_chancer,@ZLabe @GretaThunberg @NASAGISS So what happened in 1880? Was that global warming too? Stupid
2023-03-14 22:35:10+00:00,JackySelebi,@Island_Tribe17 Hows Bushiri supposed to stop a natural disaster? I'm sure like a few people he will send donations but a disaster like this is in the Billions of dollars that only governments and the world banks can afford.
2023-03-14 22:35:04+00:00,abbatoirblues,@abyssalcowboy oh I'm well aware! thats why I initially refused to ask my lil brother to bring over my lil yellow raincoat but now I'm like...ok..the rain is not stopping......my stubbornness has not stopped global warming from doing its thing
2023-03-14 22:34:25+00:00,stillyournami,I dont care if its in alaska or anywhere but the climat change its not sth to not take into account
2023-03-14 22:34:14+00:00,IsipBabyPaRin,@climat_change Amen !
2023-03-14 22:33:49+00:00,brian_t_muldoon,"@DrJBhattacharya @CournanJane This is how meteorologists must have felt when Global Warming became a thing. No more weatherman jokes, we're in charge now."
2023-03-14 22:33:23+00:00,JacmeJesse,"@EricDLombardi young people can threaten to leave all they want, doesn't change the geographic reality that Ontario has all the water and zero natural disaster risk, this is incredibly valuable in a increasingly destabilizing world, when viewed in this context prices are fair if not undervalued"
2023-03-14 22:32:45+00:00,RandyAMeyer,"@EyeOnMatters @Imagineasif11 @Jkylebass @SRuhle Blame formula:
Trump.
Guns.
Climate Change (f/k/a Global Warming)
White Supremacy.

Wash. Rinse. Repeat."
2023-03-14 22:31:54+00:00,DumbLibStuff,@EliotJacobson Shut up.  It has nothing to do with your bullshit global warming 🖕off
2023-03-14 22:31:06+00:00,isittruIyithaca,"venus, planet of love
was destroyed by global warming
did it's people want too much, too?"
2023-03-14 22:30:31+00:00,WillTobin13,"@ConservaMuse They followed our lead on Ukraine, haven't they?

I don't see cause for your pessimism.   We make statements about China being ""part of the solution"" on a range of issues... terrorism, global warming, etc"
